1,3,江戸時代に庶民の間で流行し、ゴッホ等の印象派に影響を与えた物は何でしょう？,浮世絵,版画,水墨画,油絵
2,3,木炭デッサンで使用する食材は次のうちどれでしょう？,パン,ライス,チーズ,パスタ
3,3,色の表現方である「CMY」は　XXの三原色と呼ばれている。XXに当てはまる言葉は何でしょう？,色,光,彩,明
4,3,日本の伝統的な建築物によく見られる比率で、「正方形の1辺と対角線の比が1:√2」になっているものを何と呼ぶでしょう？,白銀比,黄金比,金剛比,青銅比
5,3,印象派の画家として知られ、「ひまわり」で有名なのは次のうち誰でしょう？,ゴッホ,モネ,ピカソ,ゴーギャン
6,3,江戸時代後期の 浮世絵浮世絵師で、「富嶽三十六景」等を手がけたのは次のうち誰でしょう？,葛飾北斎,喜多川歌麿,歌川広重,東洲斎写楽
7,3,美人画の浮世絵師として有名で、代表作として「寛政三美人」を手がけたのは次のうち誰でしょう？,喜多川歌麿,歌川広重,葛飾北斎,東洲斎写楽
8,3,ゴッホと共同生活をし、耳切事件の発端となったのは次のうち誰でしょう？,ゴーギャン,モネ,マネ,ルノワール
9,3,室町時代に活躍した画家で、中国風の水墨画から日本独自の画風を確立したことで有名なのは？,雪舟,秋月,宗淵,海舟
10,3,対象を素早く描画すること、またはその成果物をなんというでしょうか？,クロッキー,クッキー,クロマキー,クリッキー
11,3,３DCGにおいて３角形もしくは、４角形の平面をなんというでしょうか？,ポリゴン,多角形,ドット,モデル
12,3,「モナ・リザ」を描いたことで有名なレオナルド・ダ・ヴィンチの出身は次のうちどこでしょう？,イタリア,フランス,イギリス,アメリカ
13,3,３DCG技術の一つで、ある物体から別の物体へ自然に変形させる手法を何と呼ぶでしょうか？,モーフィング,トランスフォーム,モディファイ,シェーディング
14,3,主に漫画で使用され、白と黒の点で構成される様々なパターンが印刷されているシール状の物をなんと呼ぶでしょうか？,スクリーントーン,ベタ,ドットパターン,デザインシール
15,3,３DCG技法の一つで、手描きのアニメーションや漫画の様に描画する技法をなんとよぶでしょう？,トゥーンレンダリング,コミックレンダリング,アニメーションレンダリング,マンガレンダリング
16,3,室町時代から近世にかけて確率された武家特有の住宅様式のことをなんとよぶでしょうか？,書院造,寝殿造,侍屋敷,数寄屋造
17,3,自然の岩壁に刻み込まれる形で作られた仏像をなんと呼ぶでしょうか？,磨崖仏,独立石仏,彫仏,地縛仏
18,3,油絵が発明される前に主に使用されていた技法で、顔料と卵を合わせたものをなんというでしょうか？,テンペラ画,エンカウスティック,フレスコ画,彩色壁画
19,3,量感技法の一つで、細い線で階調や暗い面を表現することをなんというでしょうか？,ハッチング,エイジング,クロージング,モデリング
20,3,以下の作品を作ったシュルレアリズムの画家は誰でしょうか？「ゴルコンダ」「大家族」「光の帝国」「人の子」,ルネ・マグリット,サルバドール・ダリ,ジョルジョ・デ・キリコ,ポール・デルヴォー
21,3,ダ・ヴィンチによって開発された、モナ・リザの肌の量感に使われている技法をなんというでしょうか？,スフマート,ソフマート,スマート,グラデーション
22,3,滑らかに仕上げる油絵の技法を確立したとして有名な、フランドルの画家は次のうち誰でしょう？,ヤン・ファン・エイク,レオナルド・ダ・ヴィンチ,ラファエロ・サンティ,ミケランジェロ・ブオナローティ
23,3,絵画・彫刻等において、全体の中で一つのまとまりとして把握される部分のことをなんというでしょう？,マッス,モッス,マップ,ミップ
24,3,色塗り技法の一つで、主に灰色系の絵具で描かれたものをなんというでしょうか？,グリザイユ,モノクローム,グレーズ,フレスコ
25,3,１５世紀〜１６世紀の間にかけて流行した流派で、デッサンを重視せず主に色によって描画するのが特徴なのは次のうちどれでしょう？,ヴェネツィア派,印象派,シエナ派,ボローニャ派
26,3,西ヨーロッパで１２世紀〜１５世紀にかけて見られ、人間的・写実的な表現を特徴とするものは次のうちどれか？,ゴシック,ロマネスク,ビザンティン,ルネサンス
27,3,１７世紀に流行し、劇的な瞬間や複雑な動きで見る人にインパクトを与える様式をなんというでしょうか？,バロック,ロココ,ゴシック,マニエリスム
28,3,モダンテクニックの一つで、水気を多く含んだ絵の具を滴らせるて描く技法をなんというでしょうか？,ドリッピング,フロッタージュ,スタッパリング,マーブリング
29,3,近代画の父と呼ばれる人物は、次のうち誰でしょうか？,セザンヌ,ピカソ,ムンク,デュフィ
30,3,壁画「最後の晩餐」肖像画「モナ・リザ」で著名な美術家は次のうち誰でしょう？,レオナルド・ダ・ヴィンチ,レオナルド・ディカプリオ,サンドロ・ボッティチェリ,フリードリヒ・ニーチェ
31,3,建築中にも関わらず世界文化遺産に登録された「サグラダ・ファミリア」の設計者は次のうち誰でしょうか？,アントニ・ガウディ,ミケランジェロ・ブオナローティ,ヴィクトル・ハルトマン,エーリヒ・メンデルゾーン
32,3,｢交響曲第9番｣や｢エリーゼのために｣で著名な作曲家は次のうち誰でしょう？,ベートーヴェン,バッハ,ブラームス,ワーグナー
33,3,卒業式などで歌われる「蛍の光」の現況は、どの国の音楽でしょうか？,スコットランド,日本,アメリカ,イタリア
34,3,音楽の強弱法において、｢非常に強く｣を意味する言葉は次のうちどれでしょうか？,フォルティッシモ,フォルテ,ピアニッシモ,スタッカート
35,3,現代音楽家｢ジョン・ケージ｣によって作曲された、演奏を行わない楽曲は次のうちどれでしょうか？,4′33,虚無への供物,Silence,アグレロ
36,3,西洋音楽において、音楽の三大要素とされるのは「メロディ」「リズム」とあと一つは何？,ハーモニー,アンサンブル, シンコペーション,ピアノ
37,3,作曲家「ブライアン・イーノ」により提唱された、過度な主張をせず、場の雰囲気を演出するための音楽のジャンルは次のうちどれでしょうか？,アンビエント,ヒーリング,BGM,チルアウト
38,3,書道において最低限必要とされる「文房四宝」に含まれないものは次のうちどれでしょうか？,筆,硯,紙,文鎮
39,3,その幻想的な音色から人々を熱狂させたものの、演奏の禁止令が出て世界から消えてしまった楽器は何でしょう？,アルモニカ,パンハルモニコン,エンドピン,カシローラ40,3,踊りによる芸術「バレエ」は、次のうちどの芸術から独立して発生した？,オペラ,民族舞踊,ワルツ,フラメンコ
41,3,シンセサイザーによる音楽で、初めてミリオンセラーを記録したアルバム「スイッチト・オン・バッハ」に使用されたシンセサイザーのメーカーは次のうちどれでしょうか？,モーグ,ヤマハ,ローランド,アープ 
42,3,盆栽において、枝が上向きに広がっているものは次のうち何と呼ばれるでしょうか？,箒立ち,根上り,吹流し,苔玉
43,3,現代建築における脱構築主義の代表的人物で、コンペで優勝しても建築されない建物が多いことから「アンビルトの女王」と呼ばれる人物は誰でしょうか？,ザハ・ハディド,乾久美子,アンゲラ・メルケル ,ゴルダ・メイア
44,3,コンテンポラリー・ダンスのうち、日本の舞踊家「土方巽」が確立した踊りの名称は次のうちどれ？,暗黒舞踏,現代舞踊,ニューバレエ,モダンダンス
45,3,茶道の「わび茶」の完成車とされ、「茶聖」と呼ばれた人物は誰？,千利休,一休,千宗室,新島八重
46,3,雅楽の舞楽において生まれた概念で、現在は文章やストーリーの展開を考える際などに用いられるのは次のうちどれ？,序破急,起承転結,起承鋪叙結,黄金比
47,3,推理小説の基本的なルールとされる「ノックスの十戒」で、認められていない存在は？,中国人,アリバイ,暴力,密室
48,3,「そして誰もいなくなった」「もの言えぬ証人」等を著した推理小説家で、「ミステリーの女王」を呼ばれたのは誰？",アガサ・クリスティー,Ｊ・Ｋ・ローリング,フランソワーズ・サガン,金子みすゞ
49,3,中世を中心に、現在の「スポンサー」とよく似た役割だった人たちの呼び方を何と呼ぶ？,パトロン,タニマチ,ディレクター,コンシューマー
50,3,古楽器で、のちのピアノの元となった楽器は次のうちどれでしょうか？,チェンバロ,リュート,セルパン,バリトン 