1,運転する人,DRIVER,0
2,話すこと,TALK,0
3,時刻を確認するもの,WATCH,0
4,遠距離の人と会話する道具,PHONE,0
5,筆記用具を使って記述をする紙,NOTE,0
6,非常口を英語でいうと？,EXIT,0
7,屋内から外を見ることができる透明な板が貼ってある物,WINDOW,0
8,物を買うために必要な物,MONEY,0
9,働くこと,WORK,0
10,問題を英語で言うと？,QUIZ,0
11,正解を英語で言うと？,ANSER,0
12,打つこと,HIT,0
13,4月を英語で言うと？,APRIL,0
14,叫ぶこと,CRY,0
15,りんごを英語で言うと？,APPLE,0
16,ももを英語で言うと？,PEACH,0
17,ぶどうを英語で言うと？,GRAPE,0
18,みかんを英語で言うと？,ORANGE,0
19,ジャガイモを英語で言うと？,POTATO,0
20,お茶を英語で言うと？,TEA,0
21,跳び上がること,JUMP,0
22,考えること,THINK,0
23,悲しいこと,SAD,0
24,閉じること,CLOSE,0
25,世界を英語で言うと？,WORLD,0
26,「米連邦準備理事会」の頭字語,FRB,0
27,「欧州連合」の頭字語,EU,0
28,「日本音楽著作権協会」の頭字語,JASRAC,0
29,「連邦捜査局」の頭字語,FBI,0
30,「ヒト免疫不全ウイルス」の頭字語,HIV,0
31,「ずる」を英語で言うと？,CHEAT,0
32,食事を英語で言うと？,MEAL,0
33,「修理」を英語で言うと？,FIX,0
34,7＋5は？,じゅうに,1
35,13×4は？,ごじゅうに,1
36,42-15は？,にじゅうはち,1
37,100÷5は？,にじゅう,1
38,「effort」を日本語で言うと？,どりょく,1
39,「progress」を日本語で言うと？,しんぽ,1
40,「length」を日本語で言うと？,ながさ,1
41,「method」を日本語で言うと？,ほうほう,1
42,「storm」を日本語で言うと？,あらし,1
43,「century」を日本語で言うと？,せいき,1
44,「credit」を日本語で言うと？,しんよう,1
45,「staff」を日本語で言うと？,しょくいん,1
46,「client」を日本語で言うと？,こきゃく,1
47,「cancer」を日本語で言うと？,がん,1
48,「military」を日本語で言うと？,ぐんたい,1
49,「election」を日本語で言うと？,りっこうほ,1
50,「ride」を日本語で言うと？,のる,1
51,「weapon」を日本語で言うと？,ぶき,1
52,「percentage」を日本語で言うと？,りつ,1
53,「invitation」を日本語で言うと？,しょうたい,1
54,「rise」を日本語で言うと？,のぼる,1
55,「birth」を日本語で言うと？,たんじょう,1
56,「国内総生産」の頭字語は？,GDP,0
57,「国際通貨基金」の頭字語は？,IMF,0
58,「非営利団体」の頭字語は？,NGO,0
59,「政府開発援助」の頭字語は？,ODA,0
60,「環太平洋戦略的経済連携協定」の頭字語は？,TPP,0
61,「国連教育科学文化機関」の頭字語は？,UNESCO,0
62,「世界保健機関」の頭字語は？,WHO,0
63,"「中央演算処理装置」の頭字語は？",CPU,0
64,「発行ダイオード」の頭字語は？,LED,0
65,「フレームレート」を表す単位の頭字語は？,FPS,0
66,「石」を英語で言うと？,STONE,0
67,「紙」を英語で言うと？,PAPER,0
68,「ジーンズ」に使われる素材は？,DENIM,0
69,「苦い」を英語で言うと？,BITTER,0
70,「甘い」を英語で言うと？,SWEET,0
71,「しっとり」を英語で言うと？,WET,0
72,「乾いた」を英語で言うと？,DRI,0
73,アメリカで使用されている通貨の単位,DOLLAR,0
74,「サッカー」の綴りは？,SOCCER,0
75,「テニス」の綴りは？,TENNIS,0
76,「黄色」を英語で言うと？,YELLOW,0
77,「バニラ」の綴りは？,VANILLA,0
78,「ブロンズ」の綴りは？,BRONZE,0
79,「長い」を家語で言うと？,LONG,0
80,「短い」を英語で言うと？,SHORT,0
81,"「キツネ」を家語で言うと？",FOX,0
82,「ヨーロッパ」の綴りは？,EUROPA,0
83,「ボトル」の綴りは？,BOTTLE,0
84,「アメリカ航空宇宙局」の頭字語は？,NASA,0
85,「かわいい」を英語で言うと？,CUTE,0
86,「答え」を英語で言うと？,ANSER,0
87,「古い」を英語で言うと？,OLD,0
88,「偉大な」を英語で言うと？,GREAT,0
89,「office」を日本語で言うと？,じむしょ,1
90,「doctor」を日本語で言うと？,いしゃ,1
91,「church」を日本語で言うと？,きょうかい,1
92,「bridge」を日本語で言うと？,はし,1
93,「サラダ」の綴りは？,SALAD,0
94,「空腹」を英語で言うと？,HUNGRY,0
95,「bath	」を日本語で言うと？,ふろ,1
96,「希望」を英語で言うと？,HOPE,0
97,「著者」を英語で言うと？,AUTHER,0
98,「下書き」を英語で言うと？,DRAFT,0
99,「director」を日本語で言うと？,かんとく,1
100,「借金」を英語で言うと？,DEBT,0