1,4,プロ野球選手のダルビッシュ有投手の父親はどこの国の出身でしょう。,イラン,インド,サウジアラビア,ロシア
2,4,サッカーの試合、１チームが同時にフィールドに出せる選手は何人でしょう？,１１人,１０人,９人,８人
3,4,野球のチームは何人で構成されるでしょう。,９人,８人,７人,１０人
4,4,通算1065盗塁、シーズン106盗塁の日本プロ野球記録を持つ「世界の盗塁王」と言えば？,福本豊,広瀬叔功,イチロー,赤星憲広
5,4,F1モナコグランプリにおいて最多優勝記録を持つドライバーは？,アイルトン・セナ,アラン・プロスト,ジム・クラーク,グラハム・ヒル
6,4,1979年の日本シリーズ、最後のピッチャーとなった広島東洋カープの江夏豊が第7戦9回に投じた球数は?,21球,30球,25球,19球
7,4,東京オリンピックで金メダルを獲得し、「東洋の魔女」と呼ばれたチームのある競技は次のうちどれでしょう？,バレーボール,バスケットボール,シンクロ,サッカー
8,4,札幌オリンピックにおいて、スキージャンプでメダルを独占したことからついた愛称は次のうちどれでしょう？,日の丸飛行隊,日本飛行隊,日の丸ジャンパーズ,サムライ飛行隊
9,4,簡易な一人乗りのソリにうつ伏せで乗り、コースを滑走したタイムを競う種目は次のうちどれでしょう？,スケルトン,アルペンスキー,ボブスレー,リュージュ
10,4,古代ギリシアのアテナイにおいて、ペルシャとの戦いに勝利した報せを伝えるために兵士が走ったことから始まった競技は次のうちどれでしょう？,マラソン,リレー,競歩,ハードル
11,4,合気道の達人で、ケネディのボディガードと組手をした人物は次のうち誰でしょうか？,塩田剛三,植芝盛平,小林 裕和,渋川剛毅
12,4,日本の柔道家で、ブラジリアン柔術の元を作った人物は次のうち誰でしょうか？,前田光世,力道山,木村政彦,西郷四郎
13,4,日本野球界を代表する長距離打者で、ゴジラのニックネームで呼ばれていたのは次のうち誰でしょう？,松井秀喜,王貞治,長嶋茂雄,江藤智
14,4,フィギュアスケートの選手で、スーパーマリオブラザーズの音楽で演技をしたのは次のうち誰でしょう？,織田信成,高橋大輔,羽生結弦,小塚 崇彦
15,4,フィギュアスケートの金メダリストで、イナバウアーが代名詞となったのは次のうち誰でしょう？,荒川静香,安藤美姫,浅田真央,伊藤みどり
16,4,ボクシングのWBC世界チャンピオンで、ガッツポーズの由来ともなったガッツ石松の階級は次のうちどれでしょう？,ライト級,フライ級,バンタム級,スーパーライト級
17,4,相撲において、力士と同じ土俵上で審判を行う人をなんとよぶでしょうか？,行司,関取,幕内,軍配
18,4,バスケットボールで、ボールを持ったまま３歩以上歩いてしまうことをなんというでしょうか？,トラベリング,ダブルドリブル,オフサイド,オーバーラップ
19,4,日本ハムの選手で、ピッチャー・バッターをこなす二刀流で有名な選手は次のうちどれでしょうか？,大谷翔平,ダルビッシュ・有,田中将大,稲葉 篤紀
20,4,日本人のプロゴルファーで、日本人最年少マスターズ予選通過者は次のうち誰でしょうか？,松山英樹,石川遼,池田勇太,青木 功
21,4,２０１５年の世界水泳で、男子４００M個人メドレーで金メダルを獲得した日本人選手は次のうち誰でしょう？,瀬戸大也,北島康介,萩野公介,入江陵介
22,4,日本の最年長プロサッカー選手で、日本人として唯一ブラジルで成功した選手は次のうち誰でしょうか？,三浦知良,ラモス瑠偉,川口 能活,中山雅史
23,4,オリンピック柔道の金メダリストで、やわらちゃんのニックネームで呼ばれていたのは次のうち誰でしょう？,谷亮子,塚田真希,松本薫,谷本歩実
24,4,ハワイ出身の力士で第64代横綱を務め、引退後はプロレス・総合格闘技・タレントと多方面で活躍したのは次のうち誰でしょうか？,曙　太郎,朝青龍,琴欧洲,若乃花
25,4,水泳・自転車ロードレース・マラソンを連続して行う競技をなんというでしょうか？,トライアスロン,トライエース,トライスポーツ,トライチャレンジ
26,4,2013年、シーズン開幕から無敗の24連勝の新記録を達成した野球選手は次のうち誰でしょうか？,田中将大,金田正一,ダルビッシュ・有,イチロー
27,4,1975年の日本ダービーを大逃げで制し、「狂気の逃げ馬」と呼ばれた馬は次のうちどの馬でしょうか？,カブラヤオー,トウショウボーイ,ミスターシービー,ディープインパクト
28,4,アメリカンフットボールで、攻撃の選手に指示を出しボールをパスするのは次のうちどのポジションでしょうか？,クォーターバック,ピッチャー,センター,フォワード
29,4,野球を基に発展したフィンランドの国技は、次のうちどれでしょうか？,ペサパッロ,クリケット,キックベースボール,三角ベース
30,4,ゴルフで、パーより3打少なくホールを終えることを、次のうちどれと呼ぶでしょうか？,アルバトロス,ホールインワン,イーグル,3ラン
31,4,カーリング用語で、延長戦のことを次のうち何と呼ぶでしょうか？,エキストラエンド,ラストイニング,オーバータイム,マッチポイント
32,4,平幕の力士が横綱に勝つと何星が与えられる？,金星,虹星,赤星,銀星
33,4,弓道で用いる的の直径は何cmでしょうか？,36cm,25cm,66cm,80cm
34,4,野球のメジャーリーグシーズン最多安打記録を持っている選手は次のうち誰でしょうか？,イチロー,ピート・ローズ,ジョージ・シスラー,新庄剛志
35,4,歴代最長世界ランキング1位、数々の記録を塗り替えてきたスイス出身のテニス選手は次のうち誰でしょうか？,ロジャー・フェデラー,ラファエル・ナダル,アンドレ・アガシ,ノバク・ジョコビッチ
36,4,バレーボールで、連続で得点しないとセットを獲得できない状態は？,デュース,延長戦,タイブレーク,ダブル・ダブル
37,4,無敗でクラシック三冠を制し、「皇帝」と呼ばれた名馬は次のうちどの馬でしょうか？,シンボリルドルフ,シンボリクリスエス,ナリタブライアン,トウカイテイオー
38,4,女子スキージャンプで最多の優勝回数を誇り、飛び級で大学に入学した選手は次のうち誰でしょうか？,高梨沙羅,浅田舞,サラ・ヘンドリクソン,不動裕理
39,4,メジャーリーグで近年導入された、7日から15日の短期故障者リストの対象疾患は次のうちどれでしょうか？,脳震盪,ぎっくり腰,肝硬変,寝違え
40,4,足を意味する単位で、NFL等、アメリカのスポーツで用いられる「フィート」は1あたり何cm?,30.48cm,26.5cm,40.853cm,20cm
41,4,スポーツ選手や体作りをする時によく摂取される「プロテイン」は次のうち何でしょうか？,タンパク質,コラーゲン,アミノ酸,糖質
42,4,日本サッカーの最高峰リーグ「J1リーグ」は何チームが所属している？,18チーム,12チーム,24チーム,20チーム
43,4,野球で「完投」の記録が付く、両チーム反則無しの最小の投球数は何球？,25球,24球,27球,20球
44,4,女子レスリングで、世界大会16連覇、個人戦200連勝を達成し、国民栄誉賞を受賞した選手は次のうち誰でしょうか？,吉田沙保里,浜口京子,谷亮子,伊調馨
45,4,NFLの頂点を決める試合の名前は次のうちどれでしょうか？,スーパーボウル,プロボウル,クライマックスシリーズ,ラストゲーム
46,4,ロードレース世界選手権とF1、両方でチャンピオンを獲得したことのある人物といえば？,ジョン・サーティス,エディ・ローソン,ミハエル・シューマッハ,フレディ・スペンサー
47,4,男子ワールドカップで、最多の優勝回数を誇る国は次のうちどの国でしょうか？,ブラジル,ドイツ,イタリア,アルゼンチン
48,4,男子ゴルフで、世界一位の期間が最も長い選手は次のうち誰でしょうか？,タイガー・ウッズ,ジャック・ニクラス,タイロン・ウッズ,石川遼
49,4,F1において、歴代最多の勝利を記録しているのは次のうち誰でしょうか？,ミハエル・シューマッハ,アイルトン・セナ,ルーベンス・バリチェロ,キミ・ライコネン
50,4,マラソンで、史上初の2時間2分秒台を出した、現世界記録保持者は次のうち誰でしょうか？,デニス・キメット,高岡寿成	,エリック・ワイナイナ,アベベ・ビキラ